0.00.091.751 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.091.824 I srv          init: The UI is disabled
0.00.091.824 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.091.911 W srv  llama_server: -----------------
0.00.091.914 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.091.914 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.091.914 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.091.915 W srv  llama_server: -----------------
0.00.104.753 I srv    load_model: loading model 'D:\ollama\models\blobs\sha256-28d076b40a90a48fa62307b7980fca4b2cdb0de7d892969956f7016b29d01154'
0.00.884.183 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.884.198 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.884.218 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.00.884.226 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.00.884.233 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.00.884.259 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.00.884.269 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.884.276 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.884.284 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.00.884.291 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.00.884.298 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.00.884.307 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.884.315 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.884.323 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.884.346 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.06.110.097 I cmn          init: llama threadpool init, n_threads = 8
0.06.228.749 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.06.234.363 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.234.377 I srv  llama_server: model loaded
0.06.234.378 I srv  llama_server: listening on http://127.0.0.1:18080
0.06.628.920 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.629.005 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.09.684.226 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6181, progress = 0.10, t =   3.06 s / 2023.12 tokens per second
0.09.926.618 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6693, progress = 0.11, t =   3.30 s / 2029.67 tokens per second
0.10.173.951 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7205, progress = 0.12, t =   3.54 s / 2032.49 tokens per second
0.10.423.957 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7717, progress = 0.13, t =   3.79 s / 2033.51 tokens per second
0.10.673.300 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8229, progress = 0.14, t =   4.04 s / 2034.73 tokens per second
0.10.921.852 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8741, progress = 0.15, t =   4.29 s / 2036.19 tokens per second
0.11.171.955 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9253, progress = 0.15, t =   4.54 s / 2036.80 tokens per second
0.11.434.896 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9765, progress = 0.16, t =   4.81 s / 2031.89 tokens per second
0.11.684.555 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10277, progress = 0.17, t =   5.06 s / 2032.83 tokens per second
0.11.934.584 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10789, progress = 0.18, t =   5.31 s / 2033.53 tokens per second
0.12.199.700 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  11301, progress = 0.19, t =   5.57 s / 2028.66 tokens per second
0.12.450.085 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  11813, progress = 0.20, t =   5.82 s / 2029.36 tokens per second
0.12.714.586 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12325, progress = 0.21, t =   6.09 s / 2025.29 tokens per second
0.12.966.852 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12837, progress = 0.21, t =   6.34 s / 2025.46 tokens per second
0.13.231.623 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  13349, progress = 0.22, t =   6.60 s / 2021.79 tokens per second
0.13.497.553 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  13861, progress = 0.23, t =   6.87 s / 2018.05 tokens per second
0.13.762.037 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14373, progress = 0.24, t =   7.13 s / 2015.00 tokens per second
0.14.024.724 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14885, progress = 0.25, t =   7.40 s / 2012.66 tokens per second
