stage,declared_date,effective_date,included
envelope,2033-01-02,2033-01-02,yes
checkpoint,2033-02-07,2033-02-07,yes
schema,2034-06-07,2034-06-07,yes
retention,2033-04-17,2033-04-17,yes
backfill,2033-01-22,2033-01-22,yes
throttle,2033-02-27,2033-02-27,yes
dispatch,2032-07-04,2034-04-19,no
audit,2033-04-11,2033-04-11,yes
attestation,2033-01-16,2033-01-16,yes
routing,2033-02-21,2033-02-21,yes
replay,2033-03-26,2033-03-26,yes
cursor,2033-04-05,2033-04-05,yes
reconcile,2033-01-10,2033-01-10,yes
compaction,2032-02-12,2033-09-11,yes
tenancy,2033-03-20,2033-03-20,yes
drain,2033-04-25,2033-04-25,yes
lineage,2033-01-04,2033-01-04,yes
shard,2033-02-09,2033-02-09,yes
quota,2033-03-14,2033-03-14,yes
