date,account,entry,description,amount,status
2026-09-02,M-5,INV-2140,invoice 2140 Severn Boats,176.40,
2026-09-05,K-7,INV-2147,invoice 2147 Harborne Marine,348.50,
2026-09-08,S-1,CN-2150,credit note 2150 faulty stock,-27.95,
2026-09-12,M-2,INV-2153,invoice 2153 Tunnel Marine,64.25,
2026-09-15,K-7,TR-2160,transfer to M-2 moorings rebate,-90.00,
2026-09-15,M-2,TR-2160,transfer from K-7 moorings rebate,90.00,
2026-09-19,K-9,INV-2158,invoice 2158 Lock Keepers Arms,73.10,
2026-09-23,K-7,INV-2164,invoice 2164 Avon Wharf Ltd,95.00,
2026-09-26,M-5,INV-2165,invoice 2165 Cutler and Co,180.00,
2026-09-29,K-7,CN-2166,credit note 2166 returned fittings,-61.50,
2026-09-30,S-1,INV-2170,invoice 2170 Bridge Street Chandlery,201.15,
