date,account,entry,description,amount,status
2026-07-01,K-7,OPENING,opening balance carried in,2510.00,
2026-07-01,K-9,OPENING,opening balance carried in,77.00,
2026-07-01,M-2,OPENING,opening balance carried in,812.40,
2026-07-01,M-5,OPENING,opening balance carried in,143.05,
2026-07-01,S-1,OPENING,opening balance carried in,2040.00,
2026-07-06,K-7,INV-2041,invoice 2041 Harborne Marine,412.00,
2026-07-09,M-5,INV-2042,invoice 2042 Cutler and Co,96.50,
2026-07-14,K-7,CN-2044,credit note 2044 returned goods,-96.50,
2026-07-17,S-1,INV-2046,invoice 2046 Bridge Street Chandlery,318.70,
2026-07-21,K-7,INV-2053,invoice 2053 Avon Wharf Ltd,187.25,
2026-07-24,K-9,INV-2055,invoice 2055 Lock Keepers Arms,58.00,
2026-07-28,M-2,PM-2058,payment run 2058,-400.00,
2026-07-30,M-5,INV-2061,invoice 2061 Severn Boats,180.00,
2026-07-31,S-1,CN-2063,credit note 2063 seasonal return,-45.00,
